#$Format     "X_Y1-Yn"
#$CAbscissa  "Time"
#$CUnitA     "ms"
#$COrdinate  "Acceleration"
#$CUnitO     "mm/(ms*ms)"
#
#$Legtxt     "[X-Y-Resultant-Acceleration]:B-pillar-sill Left -- Shopping-cart -- 10kmph -Side"
#$Itemid     "10050033"
#$Itemtype   "node"
#
        8.699129E+00        1.974090E-04
        8.799119E+00        6.295861E-04
        8.899110E+00        7.338660E-04
        8.999100E+00        2.668472E-04
        9.099090E+00        3.776741E-04
        9.199080E+00        4.945566E-04
        9.299069E+00        2.037208E-04
        9.399059E+00        4.140595E-04
        9.499049E+00        4.353403E-04
        9.599039E+00        4.723790E-04
        9.699029E+00        1.072340E-03
        9.799019E+00        9.835722E-04
        9.899010E+00        9.742715E-04
        9.999999E+00        1.345832E-03
        1.009999E+01        1.518974E-03
        1.019998E+01        1.559649E-03
        1.029997E+01        1.516300E-03
        1.039996E+01        1.574327E-03
        1.049995E+01        1.292092E-03
        1.059994E+01        9.255027E-04
        1.069993E+01        1.113259E-03
        1.079992E+01        1.568966E-03
        1.089991E+01        1.751085E-03
        1.099990E+01        1.843115E-03
        1.109989E+01        2.171043E-03
        1.119988E+01        2.656914E-03
        1.129987E+01        2.799574E-03
        1.139986E+01        3.335265E-03
        1.149985E+01        3.562735E-03
        1.159984E+01        3.152435E-03
        1.169983E+01        3.041703E-03
        1.179982E+01        3.096638E-03
        1.189981E+01        2.704852E-03
        1.199980E+01        1.913855E-03
        1.209979E+01        2.001771E-03
        1.219978E+01        1.627753E-03
        1.229977E+01        1.139697E-03
        1.239976E+01        8.773123E-04
        1.249975E+01        1.174891E-03
        1.259974E+01        9.838813E-04
        1.269973E+01        9.725212E-05
        1.279972E+01        8.447524E-04
        1.289971E+01        1.555609E-03
        1.299970E+01        1.798554E-03
        1.309969E+01        2.127249E-03
        1.319968E+01        2.414325E-03
        1.329967E+01        2.941267E-03
        1.339966E+01        3.139857E-03
        1.349965E+01        3.593467E-03
        1.359964E+01        3.394936E-03
        1.369963E+01        3.782557E-03
        1.379962E+01        4.103631E-03
        1.389961E+01        4.327945E-03
        1.399960E+01        3.895581E-03
        1.409959E+01        4.057712E-03
        1.419958E+01        3.915176E-03
        1.429957E+01        3.466393E-03
        1.439956E+01        3.665350E-03
        1.449955E+01        3.994378E-03
        1.459954E+01        3.890419E-03
        1.469953E+01        3.874286E-03
